Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity_category,cluster_1,cluster_2,cluster_3,best_feature,optimal_value,predicted_increase
389.0,Frank Turner,Substitute,1AT9wI4nIJyimwOvxKOpf9,15,2012,acoustic,0.575,0.407,9,-7.116,0,0.0297,0.785,0.0,0.105,0.494,93.881,165867,4,Low,True,False,False,valence,0.294,1.7060476735294827
390.0,Matthew Perryman Jones,Canción De La Noche,3e03PW09bAiFKrobeEBcJ7,17,2012,acoustic,0.382,0.561,9,-8.706,0,0.0318,0.413,0.141,0.264,0.17,93.948,399213,4,Low,True,False,False,instrumentalness,0.0,4.898253573038467
391.0,Rachael Yamagata,Heavyweight,56PyvPa7GlysDiXYf0ua6p,18,2012,acoustic,0.312,0.305,9,-10.44,1,0.03,0.945,0.0269,0.179,0.327,135.815,202585,4,Low,True,False,False,liveness,0.0,1.146538427234411
392.0,Tony Sly,Under the Garden,3cDtWgmdZFdsWhpklpQfod,19,2012,acoustic,0.465,0.48,7,-6.119,1,0.0329,0.879,0.0,0.302,0.215,77.746,196560,4,Low,True,False,False,liveness,0.1019999999999999,1.8587444467287604
393.0,Mindy Smith,Pretending the Stars,7nKqml3KCfsMOfRqT4DgKT,12,2012,acoustic,0.537,0.695,1,-6.474,1,0.029,0.0518,2.47e-05,0.103,0.607,126.008,199987,4,Low,False,False,False,instrumentalness,0.0,2.467429650088633
394.0,Kris Allen,Teach Me How Love Goes,7jfpsOLXpwKwtACP2iu35B,16,2012,acoustic,0.608,0.462,11,-10.113,1,0.0314,0.709,3.2e-05,0.105,0.223,87.037,206187,3,Low,True,False,False,loudness,-6.608666666666666,1.9381356961864815
395.0,Jon McLaughlin,Promising Promises,69aiUxLaitPztAnyyYsj2J,14,2012,acoustic,0.49,0.799,5,-4.506,1,0.0339,0.183,6.29e-06,0.18,0.124,86.95,284467,4,Low,False,False,False,danceability,0.69,2.738094652180351
396.0,Andrew Belle,In My Veins - Live (Bonus Track),4y63GaUy4u0eg2qD1Eop8d,19,2012,acoustic,0.492,0.488,9,-6.232,0,0.0276,0.643,0.000286,0.112,0.227,113.082,382490,4,Low,True,False,False,speechiness,0.2276,1.7226305663879522
397.0,Chris Smither,Place In Line,2SeSE8ktfhgZmTVUpjjnBY,17,2012,acoustic,0.638,0.623,9,-7.926,1,0.0256,0.873,0.000582,0.219,0.678,102.809,231933,4,Low,True,False,False,valence,0.478,6.277150548135838
398.0,Josh Garrels,Valor,23b1FPZZmMRWFHV5DhJNQq,13,2012,acoustic,0.547,0.68,9,-9.015,0,0.0538,0.406,0.0664,0.113,0.167,85.015,134596,4,Low,False,False,False,instrumentalness,0.0,5.082220539057531
