Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster_1,cluster_2,cluster_3,cluster_4,best_feature,optimal_value,predicted_increase
3059,Air,Seven Stars,4s0bhnrvdhWmN5qfjk1aYB,27,2012,ambient,0.522,0.687,6,-9.448,1.0,0.0419,0.176,0.481,0.181,0.282,161.173,262858.0,4.0,False,False,False,True,speechiness,0.0268777777777777,2.8848254953423336
3060,Hammock,Tornado Warning,1XgmIN3AKBh3Pa6SpwImTW,20,2012,ambient,0.275,0.361,2,-12.57,1.0,0.031,0.657,0.803,0.0782,0.108,83.926,290460.0,4.0,False,True,False,False,duration_ms,96820.6,1.496336449835859
3061,Ryan Teague,Shadow Play,1SyRtWs7poeQ5L5P3hKXrf,25,2012,ambient,0.544,0.333,1,-12.999,0.0,0.0332,0.927,0.906,0.111,0.0819,127.985,254187.0,3.0,False,True,False,False,duration_ms,84729.6,3.020504841591229
3062,Jessica Pratt,Dreams,5Tukjkps0Y2vfDiSIfhTOb,22,2012,ambient,0.436,0.262,11,-12.156,1.0,0.027,0.878,0.0385,0.111,0.29,101.921,191681.0,4.0,True,False,False,False,liveness,0.0,1.0403265725586444
3063,Wouter Veldhuis,Blue Forest III,4n6Wiusm7Gz3g5UlgJJx4E,22,2012,ambient,0.176,0.0132,2,-31.161,0.0,0.0433,0.987,0.889,0.122,0.0337,69.318,320557.0,4.0,False,True,False,False,duration_ms,71235.62222222224,4.750177166320533
3064,Sync24,Dance of the Droids,14qUFHww2aTlU2U3pv9w7k,26,2012,ambient,0.615,0.529,2,-10.727,1.0,0.0623,0.047,0.715,0.111,0.141,130.001,398769.0,4.0,False,False,False,True,speechiness,0.0,4.960678781469017
3065,Dario Marianelli,Clerks,4E22jUmL1vPKzGR6cKo3Gb,18,2012,ambient,0.378,0.395,7,-17.217,0.0,0.102,0.822,0.913,0.507,0.529,75.251,66600.0,4.0,False,True,False,False,speechiness,0.0,3.9400769767003503
3066,Motionfield,Blue Hours,1oxOcbWAunGJhrleh1IakA,19,2012,ambient,0.242,0.309,11,-21.268,1.0,0.0346,0.945,0.902,0.111,0.466,129.983,448517.0,4.0,False,True,False,False,speechiness,0.0260666666666666,1.9469926873063468
3067,Robert Rich,"Generosity of Solitude, Pt. 2",5yE8qvYQ3rXWbgwzauBQpr,21,2012,ambient,0.0638,0.00635,1,-34.679,1.0,0.0435,0.984,0.942,0.104,0.0349,70.113,671573.0,3.0,False,True,False,False,duration_ms,74620.08888888895,5.977398884451741
3068,Hakobune,Sazanami,3KfHaBp1LqbwCOecSK79jQ,19,2012,ambient,0.152,0.112,10,-26.194,0.0,0.0448,0.877,0.698,0.0961,0.0344,135.34,337790.0,1.0,False,True,False,False,duration_ms,75065.17777777778,2.397550508150651
3069,Mirrorring,Drowning the Call,2sUwbKtpTLk4iAF5uKObX7,20,2012,ambient,0.16,0.156,2,-21.28,1.0,0.039,0.867,0.881,0.0897,0.144,82.054,413520.0,1.0,False,True,False,False,duration_ms,45947.533333333326,4.697291152797321
3070,Chilly Gonzales,Minor Fantasy,034Gy8qI8MRJqeYB7Wjve6,32,2012,ambient,0.567,0.029,3,-22.226,0.0,0.0525,0.992,0.936,0.103,0.0734,112.004,205960.0,4.0,False,True,False,False,speechiness,0.0280555555555555,4.402337566197447
3071,Blithe Field,Clasped Hands,7yk5D0dL772D2gWePica6W,20,2012,ambient,0.411,0.272,11,-15.062,1.0,0.0417,0.85,0.575,0.0727,0.118,87.853,228499.0,4.0,False,True,False,False,duration_ms,76166.93333333335,4.770204533032196
3072,Dario Marianelli,Anna's Last Train,1dO5twQgNic2Cuda480g3f,18,2012,ambient,0.186,0.132,1,-15.358,1.0,0.0385,0.88,0.897,0.129,0.0388,82.185,233560.0,4.0,False,True,False,False,duration_ms,51902.95555555553,4.832009383594984
3073,Balmorhea,Pilgrim,6SmqbW0YnStyALTOQmPt8a,23,2012,ambient,0.218,0.1,0,-15.599,1.0,0.0433,0.781,0.922,0.0889,0.0318,129.53,406167.0,4.0,False,True,False,False,duration_ms,45130.533333333326,2.541870639304827
3074,Michael Stearns,St. Peters,2jx4AwWkIl5E0JCYdELywi,23,2012,ambient,0.093,0.119,0,-24.089,0.0,0.0407,0.885,0.983,0.0737,0.0282,63.62,151387.0,3.0,False,True,False,False,duration_ms,67283.57777777777,2.08792128868032
3075,Stellardrone,Endeavour,6GrC8hgXurq8Eug1cfHK0d,24,2012,ambient,0.124,0.175,8,-17.101,1.0,0.0393,0.714,2.95e-05,0.101,0.0455,57.925,332069.0,4.0,True,False,False,False,loudness,0.0,5.009516196336815
3076,Masakatsu Takagi,Home After Rain,2P0Vz9pjdTnq6iRDnFXavr,22,2012,ambient,0.0687,0.09,2,-18.584,1.0,0.04,0.928,0.885,0.104,0.041,65.193,291907.0,4.0,False,True,False,False,duration_ms,64868.95555555553,5.888958259223196
3077,willamette,"avenue heights, carouselled horse",7sPBqPBEbBzYw0uBLAqxYH,21,2012,ambient,0.0634,0.32,0,-20.658,1.0,0.0708,0.523,0.977,0.239,0.0396,68.759,197874.0,3.0,False,True,False,False,speechiness,0.0,4.787457305087937
3078,Michael Brook,Charlie's Gifts,1WaGVPIdimDBm9hZMKiJuB,22,2012,ambient,0.198,0.00349,0,-32.67,0.0,0.0433,0.994,0.956,0.075,0.141,80.827,55373.0,4.0,False,True,False,False,acousticness,1.0,0.4337854251012167
3079,willamette,balustrade (hand writ),1wpSTwJcLteBwTTz55PG7S,21,2012,ambient,0.143,0.152,8,-26.965,1.0,0.0391,0.824,0.755,0.113,0.2,99.342,249437.0,4.0,False,True,False,False,duration_ms,55431.177777777775,3.4975152683643103
3080,Tony Anderson,Rise,1AoAfPHdiQfSOL5p4P0bM2,22,2012,ambient,0.339,0.339,0,-11.408,1.0,0.0379,0.921,0.925,0.0779,0.0395,119.958,316000.0,4.0,False,True,False,False,duration_ms,70222.95555555553,4.856282784942772
3081,Jóhann Jóhannsson,They Leave Everything Behind - From „Copenhagen Dreams” Soundtrack,6I9YkavnlTIvlpRPVhpMc9,27,2012,ambient,0.177,0.215,11,-23.078,0.0,0.0496,0.909,0.972,0.102,0.0384,133.366,69107.0,4.0,False,True,False,False,speechiness,0.0277333333333333,3.776665859550379
3082,paniyolo,Good Night,5galpIDylcpI2qLgZZvwxG,21,2012,ambient,0.329,0.0587,3,-29.828,1.0,0.0724,0.734,0.785,0.451,0.0956,174.557,214627.0,3.0,False,True,False,False,speechiness,0.0,2.7206482363938065
3083,Hammock,Artificial Paradises (feat. Helios),6ayE4NzOeM6o9XH5iPWP3z,20,2012,ambient,0.0874,0.381,9,-12.262,0.0,0.0307,0.0884,0.868,0.143,0.0507,84.223,320452.0,4.0,False,True,False,False,speechiness,0.0256333333333333,1.5499775261769706
